waktu,stasiun,AOD
2023-01-03 16:00:00,Kelapa Gading Indah,
2023-01-04 07:00:00,Slipi,
2023-01-04 07:00:00,Menteng,
2023-01-04 07:00:00,Jagakarsa,
2023-01-04 07:00:00,Jatinegara,
2023-01-04 07:00:00,Kelapa Gading Indah,
2023-01-04 08:00:00,Slipi,0.6351999640464783
2023-01-04 08:00:00,Menteng,0.4245999753475189
2023-01-04 08:00:00,Jagakarsa,
2023-01-04 08:00:00,Jatinegara,
2023-01-04 08:00:00,Kelapa Gading Indah,0.4963999986648559
2023-01-04 09:00:00,Slipi,
2023-01-04 09:00:00,Menteng,
2023-01-04 09:00:00,Jagakarsa,
2023-01-04 09:00:00,Jatinegara,
2023-01-04 09:00:00,Kelapa Gading Indah,
2023-01-04 10:00:00,Slipi,
2023-01-04 10:00:00,Menteng,
2023-01-04 10:00:00,Jagakarsa,
2023-01-04 10:00:00,Jatinegara,
2023-01-04 10:00:00,Kelapa Gading Indah,
2023-01-04 11:00:00,Slipi,
2023-01-04 11:00:00,Menteng,
2023-01-04 11:00:00,Jagakarsa,
2023-01-04 11:00:00,Jatinegara,
2023-01-04 11:00:00,Kelapa Gading Indah,
2023-01-04 12:00:00,Slipi,
2023-01-04 12:00:00,Menteng,
2023-01-04 12:00:00,Jagakarsa,
2023-01-04 12:00:00,Jatinegara,
2023-01-04 12:00:00,Kelapa Gading Indah,
2023-01-04 13:00:00,Slipi,
2023-01-04 13:00:00,Menteng,
2023-01-04 13:00:00,Jagakarsa,
2023-01-04 13:00:00,Jatinegara,
2023-01-04 13:00:00,Kelapa Gading Indah,
2023-01-04 14:00:00,Slipi,
2023-01-04 14:00:00,Menteng,
2023-01-04 14:00:00,Jagakarsa,
2023-01-04 14:00:00,Jatinegara,
2023-01-04 14:00:00,Kelapa Gading Indah,
2023-01-04 15:00:00,Slipi,
2023-01-04 15:00:00,Menteng,
2023-01-04 15:00:00,Jagakarsa,
2023-01-04 15:00:00,Jatinegara,
2023-01-04 15:00:00,Kelapa Gading Indah,
2023-01-04 16:00:00,Slipi,
2023-01-04 16:00:00,Menteng,
2023-01-04 16:00:00,Jagakarsa,
2023-01-04 16:00:00,Jatinegara,
2023-01-04 16:00:00,Kelapa Gading Indah,
2023-01-05 07:00:00,Slipi,
2023-01-05 07:00:00,Menteng,
2023-01-05 07:00:00,Jagakarsa,
2023-01-05 07:00:00,Jatinegara,
2023-01-05 07:00:00,Kelapa Gading Indah,
2023-01-05 08:00:00,Slipi,
2023-01-05 08:00:00,Menteng,
2023-01-05 08:00:00,Jagakarsa,
2023-01-05 08:00:00,Jatinegara,
2023-01-05 08:00:00,Kelapa Gading Indah,
2023-01-05 09:00:00,Slipi,
2023-01-05 09:00:00,Menteng,
2023-01-05 09:00:00,Jagakarsa,
2023-01-05 09:00:00,Jatinegara,
2023-01-05 09:00:00,Kelapa Gading Indah,
2023-01-05 10:00:00,Slipi,
2023-01-05 10:00:00,Menteng,
2023-01-05 10:00:00,Jagakarsa,
2023-01-05 10:00:00,Jatinegara,
2023-01-05 10:00:00,Kelapa Gading Indah,
2023-01-05 11:00:00,Slipi,
2023-01-05 11:00:00,Menteng,
2023-01-05 11:00:00,Jagakarsa,
2023-01-05 11:00:00,Jatinegara,
2023-01-05 11:00:00,Kelapa Gading Indah,
2023-01-05 12:00:00,Slipi,
2023-01-05 12:00:00,Menteng,
2023-01-05 12:00:00,Jagakarsa,
2023-01-05 12:00:00,Jatinegara,
2023-01-05 12:00:00,Kelapa Gading Indah,
2023-01-05 13:00:00,Slipi,
2023-01-05 13:00:00,Menteng,
2023-01-05 13:00:00,Jagakarsa,
2023-01-05 13:00:00,Jatinegara,
2023-01-05 13:00:00,Kelapa Gading Indah,
2023-01-05 14:00:00,Slipi,
2023-01-05 14:00:00,Menteng,
2023-01-05 14:00:00,Jagakarsa,
2023-01-05 14:00:00,Jatinegara,
2023-01-05 14:00:00,Kelapa Gading Indah,
2023-01-05 15:00:00,Slipi,
2023-01-05 15:00:00,Menteng,
2023-01-05 15:00:00,Jagakarsa,
2023-01-05 15:00:00,Jatinegara,
2023-01-05 15:00:00,Kelapa Gading Indah,
2023-01-05 16:00:00,Slipi,
2023-01-05 16:00:00,Menteng,
2023-01-05 16:00:00,Jagakarsa,
2023-01-05 16:00:00,Jatinegara,
2023-01-05 16:00:00,Kelapa Gading Indah,
2023-01-06 07:00:00,Slipi,
2023-01-06 07:00:00,Menteng,
2023-01-06 07:00:00,Jagakarsa,
2023-01-06 07:00:00,Jatinegara,
2023-01-06 07:00:00,Kelapa Gading Indah,
2023-01-06 08:00:00,Slipi,
2023-01-06 08:00:00,Menteng,
2023-01-06 08:00:00,Jagakarsa,
2023-01-06 08:00:00,Jatinegara,
2023-01-06 08:00:00,Kelapa Gading Indah,
2023-01-06 09:00:00,Slipi,
2023-01-06 09:00:00,Menteng,
2023-01-06 09:00:00,Jagakarsa,
2023-01-06 09:00:00,Jatinegara,
2023-01-06 09:00:00,Kelapa Gading Indah,
2023-01-06 10:00:00,Slipi,0.3610000014305115
2023-01-06 10:00:00,Menteng,
2023-01-06 10:00:00,Jagakarsa,0.4991999864578247
2023-01-06 10:00:00,Jatinegara,
2023-01-06 10:00:00,Kelapa Gading Indah,
2023-01-06 11:00:00,Slipi,0.3242000043392181
2023-01-06 11:00:00,Menteng,
2023-01-06 11:00:00,Jagakarsa,
2023-01-06 11:00:00,Jatinegara,
2023-01-06 11:00:00,Kelapa Gading Indah,0.0403999984264373
2023-01-06 12:00:00,Slipi,
2023-01-06 12:00:00,Menteng,
2023-01-06 12:00:00,Jagakarsa,
2023-01-06 12:00:00,Jatinegara,
2023-01-06 12:00:00,Kelapa Gading Indah,
2023-01-06 13:00:00,Slipi,
